time,y,x,lon,lat,wind
2005-01-01 01:00:00,46.75,1.75,1.75,46.75,0.1521933347083977
2005-01-01 01:00:00,46.75,2.0,2.0,46.75,0.16600276548847673
2005-01-01 01:00:00,46.5,1.0,1.0,46.5,0.10769192858734727
2005-01-01 01:00:00,46.5,1.25,1.25,46.5,0.10583471739974554
2005-01-01 01:00:00,46.5,1.5,1.5,46.5,0.10990981907877312
2005-01-01 01:00:00,46.5,1.75,1.75,46.5,0.12241509871238455
2005-01-01 01:00:00,46.5,2.0,2.0,46.5,0.1311472390117021
2005-01-01 01:00:00,46.25,1.0,1.0,46.25,0.08507670481725632
2005-01-01 01:00:00,46.25,1.25,1.25,46.25,0.08242726439289288
2005-01-01 01:00:00,46.25,1.5,1.5,46.25,0.08180776427583403
2005-01-01 01:00:00,46.25,1.75,1.75,46.25,0.09695679951041955
2005-01-01 01:00:00,46.25,2.0,2.0,46.25,0.11019188455914149
2005-01-01 01:00:00,46.0,1.0,1.0,46.0,0.07169882993702488
2005-01-01 01:00:00,46.0,1.25,1.25,46.0,0.06742144677948815
2005-01-01 01:00:00,46.0,1.5,1.5,46.0,0.05562176602474733
2005-01-01 01:00:00,46.0,1.75,1.75,46.0,0.07155811788113352
2005-01-01 01:00:00,46.0,2.0,2.0,46.0,0.08825430126466259
2005-01-01 02:00:00,48.0,1.0,1.0,48.0,0.08217337767022118
2005-01-01 02:00:00,48.0,1.25,1.25,48.0,0.07863198120692716
2005-01-01 02:00:00,48.0,1.5,1.5,48.0,0.06979695279724951
2005-01-01 02:00:00,48.0,1.75,1.75,48.0,0.06825856720654874
2005-01-01 02:00:00,48.0,2.0,2.0,48.0,0.06637992840114493
2005-01-01 02:00:00,47.75,1.0,1.0,47.75,0.09803394127168787
2005-01-01 02:00:00,47.75,1.25,1.25,47.75,0.09374371787340866
2005-01-01 02:00:00,47.75,1.5,1.5,47.75,0.07948146223786376
2005-01-01 02:00:00,47.75,1.75,1.75,47.75,0.06890523508646329
2005-01-01 02:00:00,47.75,2.0,2.0,47.75,0.0655141954404644
2005-01-01 02:00:00,47.5,1.0,1.0,47.5,0.11404596579271006
2005-01-01 02:00:00,47.5,1.25,1.25,47.5,0.10652452919599203
2005-01-01 02:00:00,47.5,1.5,1.5,47.5,0.09178975451107783
2005-01-01 02:00:00,47.5,1.75,1.75,47.5,0.0801340713950702
2005-01-01 02:00:00,47.5,2.0,2.0,47.5,0.06978123382067007
2005-01-01 02:00:00,47.25,1.0,1.0,47.25,0.12858239530951104
2005-01-01 02:00:00,47.25,1.25,1.25,47.25,0.12113836606616438
2005-01-01 02:00:00,47.25,1.5,1.5,47.25,0.11122195457688737
2005-01-01 02:00:00,47.25,1.75,1.75,47.25,0.10907878679481457
2005-01-01 02:00:00,47.25,2.0,2.0,47.25,0.09472355061260315
2005-01-01 02:00:00,47.0,1.0,1.0,47.0,0.13635765325291865
2005-01-01 02:00:00,47.0,1.25,1.25,47.0,0.13424533095431204
2005-01-01 02:00:00,47.0,1.5,1.5,47.0,0.14145699345062893
2005-01-01 02:00:00,47.0,1.75,1.75,47.0,0.13900221084426712
2005-01-01 02:00:00,47.0,2.0,2.0,47.0,0.14072061805328256
2005-01-01 02:00:00,46.75,1.0,1.0,46.75,0.12753467795194393
2005-01-01 02:00:00,46.75,1.25,1.25,46.75,0.12416804183407376
